title,genres,is_comedy,is_european,is_scifi,is_action,is_crime,is_drama,is_animation,is_family,is_fantasy,is_music,is_romance,is_reality,is_western,is_thriller,is_horror,is_sport,is_documentation,is_war,is_history
Three Days of Christmas,['drama'],False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Dragon Rider,"['animation', 'comedy', 'family', 'fantasy', 'action', 'european']",True,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False
The American Barbecue Showdown,['reality'],False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Ala Vaikunthapurramuloo,"['action', 'drama', 'comedy']",True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"Frankenstein's Monster's Monster, Frankenstein",['comedy'],True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Hook,"['drama', 'romance', 'sport']",False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False
Almost Happy,['comedy'],True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Win the Wilderness: Alaska,"['documentation', 'reality']",False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
Drive,"['thriller', 'crime', 'drama', 'action']",False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Footfairy,"['crime', 'thriller']",False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Marc Maron: End Times Fun,"['comedy', 'documentation']",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Her Mother's Killer,['drama'],False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Stand by Me Doraemon 2,"['scifi', 'animation', 'comedy', 'drama', 'family', 'fantasy']",True,False,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
Otherhood,['comedy'],True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BLACKPINK: Light Up the Sky,"['documentation', 'music']",False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
Street Food: Latin America,['documentation'],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Ammar,['horror'],False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Hope Frozen,['documentation'],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Patton Oswalt: I Love Everything,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Sextuplets,['comedy'],True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ReMastered: Devil at the Crossroads,"['documentation', 'music']",False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
Justine,['drama'],False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Archibald's Next Big Thing,"['family', 'fantasy', 'scifi', 'animation', 'comedy', 'action']",True,False,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False
Paava Kadhaigal,"['drama', 'family']",False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
Frontera Verde,"['crime', 'drama', 'thriller', 'scifi']",False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False
The Legend of White Snake,"['drama', 'scifi', 'fantasy']",False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Eye for an Eye,"['drama', 'thriller', 'crime', 'action', 'european']",False,True,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Ethos,"['drama', 'thriller']",False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Masaba Masaba,"['comedy', 'drama']",True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Absurd Planet,['documentation'],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
If Anything Happens I Love You,"['drama', 'animation']",False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
Rhythm + Flow,"['reality', 'music']",False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
My Perfect Landing,['family'],False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
